IID,A.1,A.2,A.prob,B.1,B.2,B.prob,C.1,C.2,C.prob,DPB1.1,DPB1.2,DPB1.prob,DQA1.1,DQA1.2,DQA1.prob,DQB1.1,DQB1.2,DQB1.prob,DRB1.1,DRB1.2,DRB1.prob,DPA1.1,DPA1.2,DPA1.prob,DRB3.1,DRB3.2,DRB3.prob,DRB4.1,DRB4.2,DRB4.prob,DRB5.1,DRB5.2,DRB5.prob,ArrayID
HLA_349,02:01,24:02,0.836072521022681,15:01,51:01,0.910646341701219,02:02,03:03,0.967088609896525,04:01,04:02,0.745325893707211,01:02,05:05,0.974142610118189,03:01,06:02,0.982141368752087,11:01,15:01,0.598560459172464,01:03,01:03,0.980688948929416,00:00,02:02,0.949319146677902,00:00,00:00,0.948923239742111,00:00,01:01,0.94713488933361,4
HLA_350,02:01,24:02,0.543151337845897,39:01,54:01,0.45564187154547,01:02,07:02,0.97769351003315,02:01,05:01,0.81521282792395,01:02,03:03,0.641770116441002,04:01,06:02,0.975330242860866,04:05,15:01,0.993335317047089,01:03,02:02,0.499250452105281,00:00,00:00,0.645364076895937,00:00,01:03,0.611572723467669,00:00,01:01,0.537073893732654,4
HLA_351,02:01,03:01,0.860726903882269,35:01,44:02,0.790814822117507,04:01,05:01,0.999913193600107,04:01,04:01,0.727419108976649,01:01,01:02,0.996675631854773,05:01,06:02,0.986379564477712,01:01,15:01,0.994114130751071,01:03,01:03,0.97631370025323,00:00,00:00,0.526845710729301,00:00,00:00,0.788900233103616,00:00,01:01,0.814548118441399,4
HLA_352,03:01,68:01,0.962172968131346,35:01,56:01,0.465149426354047,01:02,04:01,0.999216559913839,02:01,04:01,0.742421968904808,03:01,04:01,0.477963218021478,03:01,03:02,0.793937406511422,04:02,08:01,0.446800013018237,01:03,01:03,0.97189983303863,00:00,00:00,0.586011933900786,00:00,01:03,0.719972925464265,00:00,00:00,0.905920757489854,5
HLA_353,01:01,26:01,0.962435227859702,38:01,44:03,0.966288671497229,04:01,12:03,0.985379129447264,02:01,04:01,0.689055606614359,02:01,03:01,0.933482748647716,02:02,03:02,0.984408990539761,04:02,07:01,0.92992391341726,01:03,01:03,0.985029368874526,00:00,00:00,0.93285336200549,01:01,01:03,0.731309160704936,00:00,00:00,0.963246657684216,4
HLA_354,02:07,33:03,0.679261343721738,07:02,46:01,0.34331326423978,01:02,02:02,0.889026813126467,05:01,17:01e1,0.867925234864922,01:02,02:01,0.996062435099148,02:02,06:02,0.970773821124431,07:01,15:01,0.991265226767722,02:01,02:02,0.598988545732638,00:00,00:00,0.778828612399407,00:00,01:03,0.719464929708681,00:00,01:01,0.546156882259689,4
HLA_355,25:01,30:02,0.763297632441543,18:01,57:03,0.990430186372127,12:03,18:01,0.970237527741312,04:01,104:01e1,0.572886424352795,01:02,01:02,0.90745757528858,05:01,06:02,0.666600035831096,13:01,15:01,0.476001440944888,01:03,01:03,0.957381129698087,00:00,03:01,0.319914497292418,00:00,00:00,0.731102491602542,00:00,01:01,0.840659131444865,4
HLA_356,02:01,02:01,0.483152387203099,07:02,40:01,0.992286700092024,03:04,07:02,0.993792639719825,04:01,04:01,0.724810132274474,01:02,03:03,0.861166142590277,03:01,06:02,0.853165970130565,04:01,15:01,0.494860545973363,01:03,01:03,0.98234732416366,00:00,00:00,0.896234163567108,00:00,01:01,0.462643368113206,00:00,01:01,0.924439177936472,4
HLA_357,24:02,74:01,0.723232018536387,08:01,15:03,0.581403670665742,02:10,06:02,0.309163672191629,01:01,13:01,0.562025171943465,01:01,05:05,0.668928719930205,03:01,05:01,0.705169301801721,01:02,11:01,0.742714726542967,02:01,02:01,0.716088181766164,00:00,02:02,0.447799331482576,00:00,00:00,0.496867772574911,00:00,00:00,0.60712790005866,2
HLA_358,02:01,30:01,0.980475821448788,14:02,44:02,0.998203881197062,03:04,08:02,0.993364220439872,02:01,13:01,0.919994304057373,01:01,05:05,0.986918558551639,03:01,05:01,0.99288973617277,01:02,12:01,0.994955300246679,01:03,02:01,0.942587069462708,00:00,02:02,0.565153343582155,00:00,00:00,0.73027589218564,00:00,00:00,0.796555220559639,5
